Question,Answer
"According to the WTF, rational behavior and understanding the philosophies embodied in the taegeuk and the sam taegeuk can further the goal of __________. 
A) Winning competitions 
B) Personal enlightenment 
C) Developing a peaceful society 
D) Achieving physical fitness",C
"The Kukkiwon's philosophical position is based on the tradition of the __________. 
A) Shaolin monks 
B) Hwarang warriors 
C) Roman gladiators 
D) Spartan soldiers",B
"The taekwondo oath includes a commitment to ""build a more __________ world."" 
A) Competitive 
B) Peaceful 
C) Technologically advanced 
D) Economically stable",B
"The ITF philosophy has been __________ by modern ITF organizations to reflect contemporary values. 
A) Discarded 
B) Updated and expanded 
C) Simplified 
D) Reinterpreted in a religious context",B
"In American Amateur Athletic Union (AAU) competitions, what is distinct about the equipment used compared to other Taekwondo competitions?
A) The color of the uniforms is different.
B) Different styles of pads and gear are allowed.
C) Only electronic scoring systems are used.
D) Headgear is not required.",B
"According to Choi's Theory of Power, which factor increases the kinetic energy of a strike more significantly?
A) The mass of the striking object
B) The speed of the strike
C) The angle of the strike
D) The height of the practitioner",B
"The ""relax/strike"" principle in Taekwondo suggests that a practitioner should do what between blocks, kicks, and strikes?
A) Maintain constant tension in the muscles
B) Relax the body
C) Increase the speed of movement
D) Hold their breath",B
"What does the Theory of Power state about the relationship between speed and mass in Taekwondo techniques?
A) Mass is more important than speed
B) Speed is more important than mass
C) Speed and mass are equally important
D) Neither speed nor mass is important",B
"What is the term for the principle of using opposing movements to enhance the power of a strike in Taekwondo?
A) Equilibrium
B) Concentration
C) Reaction Force
D) Breath Control",C
"Which principle of the Theory of Power focuses on minimizing the area of impact during a strike?
A) Mass
B) Speed
C) Concentration
D) Reaction Force",C
"The sine wave technique in Taekwondo is designed to produce what kind of movement?
A) Side-to-side
B) Linear
C) Circular
D) Up-and-down",D
"What is the primary purpose of the ""relax/strike"" principle in Taekwondo?
A) To increase flexibility
B) To conserve the body's energy
C) To intimidate the opponent
D) To improve balance",B
"According to Choi's Theory of Power, what should accompany the exhalation during a strike?
A) A loud yell
B) The moment of impact
C) The beginning of the technique
D) The relaxation of muscles",B
"In the context of Choi's Theory of Power, what is the effect of increasing the speed of a strike?
A) Decreases the power of the strike
B) Increases the power of the strike quadratically
C) Increases the power of the strike linearly
D) Has no effect on the power of the strike",B
"What does the principle of mass in Choi's Theory of Power encourage practitioners to do?
A) Use only the striking limb to generate power
B) Use the entire body to generate power
C) Focus on increasing muscle mass
D) Reduce body mass for faster strikes",B
"In which year was the Korea Tang Soo Do Association, which later became the Korea Taekwondo Association (KTA), established?
A) 1955
B) 1959
C) 1966
D) 1972",B
"Where was the ITF initially headquartered after the split with the South Korean government?
A) Seoul, South Korea
B) Pyongyang, North Korea
C) Toronto, Canada
D) Tokyo, Japan",C
"What is the Kukkiwon-style Taekwondo often referred to as?
A) ITF-style Taekwondo
B) WT-style Taekwondo
C) Chan Hon-style Taekwondo
D) Olympic-style Taekwondo",B
"When did taekwondo first appear as a demonstration event at the Olympic Games?
A) 1988
B) 2000
C) 2010
D) 2021",A
"What was the main disagreement that led to the split between Choi and the South Korean government?
A) The location of the ITF headquarters
B) The style of taekwondo to be promoted
C) North Korean influence on the martial art
D) The establishment of the Kukkiwon",C
"What year did the ITF experience splits that led to the creation of three separate federations?
A) 1983
B) 1992
C) 2001
D) 2010",C
"What was the new name adopted by the World Taekwondo Federation in 2017?
A) International Taekwondo Association
B) Global Taekwondo Federation
C) World Taekwondo
D) Universal Taekwondo Organization",C
"Which organization's style is employed in WT competitions?
A) ITF
B) KTA
C) Kukkiwon
D) Chan Hon",C
"When did taekwondo become a medal event at the Pan Am Games?
A) 1987
B) 1988
C) 2000
D) 2010",A
"In ITF Taekwondo, which parts of the body are typically padded during sparring?
A) Head and torso
B) Feet and shins
C) Hands and feet
D) Groins and forearms",C
"In the Kukkiwon/WT tradition, which of the following is NOT typically worn for protection during sparring?
A) Forearm protectors
B) Shin protectors
C) Torso protectors
D) Neck protectors",D
"In WT sparring competitions, additional points are awarded for which type of strikes?
A) Strikes that include punches to the body
B) Strikes that incorporate spinning kicks
C) Strikes with only hand techniques
D) Strikes that involve blocking",B
"What is emphasized in Taekwondo techniques that distinguishes it from other martial arts?
A) Head-height kicks, jumping and spinning kicks, and fast kicking techniques
B) Low kicks and grappling techniques
C) Punches and elbow strikes
D) Weapon-based training",A
"What term is used in ITF-style Taekwondo to refer to ""forms""?
A) Poomsae
B) Hyung
C) Tul
D) Kata",C
"How many Chang Hon tul are defined by Choi Hong-hi in the Encyclopedia of Taekwon-Do?
A) 22
B) 24
C) 26
D) 28",B
"Which of the following is a principle introduced by Choi Hong-hi in the sub-style of Taekwondo post-1973 split?
A) Continuous motion
B) Sine wave
C) Double strikes
D) Circular movement",B
"Where is one of the ITF federations that split in 2001 headquartered?
A) Austria
B) Canada
C) South Korea
D) United States",A
"What year was the Encyclopedia of Taekwon-Do published by Choi Hong-hi?
A) 1973
B) 1980
C) 1983
D) 1990",C
"What is the name of the specific set of tul used by the ITF?
A) Koryo
B) Chang Hon
C) Taebaek
D) Pyongwon",B
"What is the more accurate term for the style of Taekwondo practiced by the ITF before its 1973 split with the KTA?
A) Traditional Taekwondo
B) Original Taekwondo
C) Traditional ITF Taekwondo
D) Classic Taekwondo",C
"After the ITF split in 2002, how many separate federations were formed?
A) One
B) Two
C) Three
D) Four",C
"In Olympic taekwondo competitions, which type of event is performed using WT competition rules?
A) Breaking
B) Patterns
C) Sparring
D) Self-defense (hosinsul)",C
"What is the nature of strikes in Olympic sparring?
A) No contact
B) Light contact
C) Full contact
D) Indirect contact",C
"In ITF sparring, how many points are awarded for a punch to the body or head?
A) 1 point
B) 2 points
C) 3 points
D) No points are awarded",A
"What happens if a competitor injures their opponent and they can no longer continue in an ITF match?
A) The competitor is awarded extra points
B) The match continues with a substitute
C) The competitor is penalized with disqualification
D) The injured opponent is given a timeout to recover",C
"What type of scoring system is utilized in ITF competition?
A) Knockout system
B) Continuous point system
C) Round-based system
D) Elimination system",B
"What protective equipment is NOT required in ITF sparring?
A) Foot protection
B) Hand protection
C) Hogu
D) Optional head guards",C
"What is the duration of an ITF sparring match?
A) One minute
B) Two minutes
C) Three minutes
D) Four minutes",B
"Which of the following is NOT a feature of ITF competitions?
A) Patterns
B) Breaking
C) Special techniques
D) Leg sweeping",D
"In which year did the World Para Taekwondo Championships become a sanctioned competition by World Taekwondo (WT)?
A) 2005
B) 2007
C) 2009
D) 2011",C
"Which event is specifically designed for athletes under the age of 12 to compete in World Taekwondo sanctioned competitions?
A) World Taekwondo Cadet Championships
B) World Taekwondo Junior Championships
C) World Taekwondo Team Championships
D) World Taekwondo Grand Slam",A
"In which year did Jhoon Rhee relocate to the Washington
D)C. area and establish a chain of martial arts schools?
A) 1950
B) 1962
C) 1970
D) 1980",B
"During the late Joseon period, Korean martial arts faded because society became highly centralized under Korean ___________, which discouraged martial arts.
A) Buddhism
B) Confucianism
C) Democracy
D) Monarchy",B
"After World War II, new martial arts schools known as _______ began to appear in Seoul.
A) Dojos
B) Kwans
C) Gyms
D) Academies",B
"The founders of the nine original kwans were influenced by martial arts from _______.
A) Japan and China
B) India and Thailand
C) Russia and Mongolia
D) Brazil and Portugal",A
"The Korean martial art that was being forgotten due to forced Japanization policies is _______.
A) Hapkido
B) Taekkyon
C) Tang Soo Do
D) Soo Bahk Do",B
"Which of the following martial arts is NOT mentioned as an influence on the early progenitors of taekwondo?
A) Karate
B) Judo
C) Kendo
D) Muay Thai",D
"The revisionist school of thought believes that taekwondo's roots are primarily found in _______.
A) Indigenous Korean martial arts
B) Karate
C) Chinese martial arts
D) A combination of various Asian martial arts",B
"The prevailing theory about the origins of taekwondo is known as _______.
A) Traditionalism
B) Revisionism
C) Modernism
D) Fundamentalism",B
"To promote a ""legitimate cultural past,"" the Korean government supports the _______ view of taekwondo's origins.
A) Revisionist
B) Traditionalist
C) Modernist
D) Eclectic",B
"During the breaking technique known as ""speed breaking,"" how are the boards held?
A) Tightly clamped
B) Loosely by one edge
C) At a great height
D) Submerged in water",B
"What aspect of taekwondo training emphasizes the importance of ethical discipline, respect, and self-confidence?
A) Forms
B) Sparring
C) Relaxation and meditation exercises
D) Mental and ethical discipline",D
"What are ""special techniques"" in the context of breaking?
A) Using straightforward techniques to break boards
B) Breaking boards with jumping or flying techniques
C) Breaking boards while blindfolded
D) Breaking boards with speed and agility",B
"Which type of workout is included in a typical taekwondo curriculum?
A) Only anaerobic workout
B) Only aerobic workout
C) Both anaerobic and aerobic workout
D) Only strength training",C
"In Taekwondo, junior ranks are indicated by a number and the term ____, which represents belt color.
A) dan
B) geup
C) saseong
D) kyosa-nim",B
"The Taekwondo ranks count down from higher numbers to lower ones for ____ ranks and count upwards for ____ ranks.
A) junior, senior
B) senior, junior
C) dan, geup
D) geup, dan",A
"In the International Taekwon-Do Federation, which title is given to instructors holding ranks from 1st to 3rd dan?
A) boosabum
B) sabum
C) sahyun
D) saseong",A
"According to WT/Kukki-Taekwondo, an instructor with a 6th dan is allowed to issue ____ ranks.
A) color belt only
B) black belt/dan-ranks only
C) both color belt and black belt/dan-ranks
D) neither color belt nor black belt/dan-ranks",C
"The term ""ap seogi"" in ITF/Chang Hon-style Taekwondo typically refers to what kind of stance?
A) An upright walking stance
B) A defensive high block
C) A long, low, front stance
D) A ready stance",C
"Which organization is responsible for promoting the sportive side of Kukki-Taekwondo?
A) International Olympic Committee
B) South Korean Ministry of Culture
C) World Taekwondo Federation
D) Korea Taekwondo Association",C
"When did the International Olympic Committee recognize the WT and taekwondo sparring?
A) 1978
B) 1980
C) 1982
D) 1984",B
"What is the WT competition ruleset's stance on the number of techniques allowed?
A) It allows all techniques
B) It allows a moderate number of techniques
C) It only allows a very small number of the total number of techniques
D) It does not restrict techniques",C
"Under World Taekwondo rules, sparring takes place in an area measuring __________ or an octagon of similar size.
A) 6 meters square
B) 8 meters square
C) 10 meters square
D) 12 meters square",B
"Each Taekwondo sparring match consists of __________ two-minute rounds.
A) Two
B) Three
C) Four
D) Five",B
"Competitors must wear protective gear including all of the following EXCEPT:
A) Hogu
B) Head protector
C) Elbow pads
D) Forearm guards",C
"In Taekwondo, a punch to the opponent's hogu scores __________ points.
A) 1
B) 2
C) 3
D) 4",A
"Penalties in Taekwondo sparring are called __________ and count as a point for the opposing contestant.
A) Gam-jeom
B) Kyong-go
C) Joo-ui
D) Shi-jak",A
"In the event of a tie after three rounds, a __________ round is held to determine the winner.
A) Bonus
B) Sudden death
C) Final
D) Tiebreaker",B
"In World Taekwondo poomsae competition, errors made by competitors result in:
A) Disqualification
B) Time penalties
C) Deductions
D) Verbal warnings",C
"A regular kick to the hogu scores __________ points.
A) 1
B) 2
C) 3
D) 4",B
"As of June 2018, a turning kick to the head scores __________ points.
A) 3
B) 4
C) 5
D) 6",C
"In poomsae competition, competitors are assessed for accuracy and __________.
A) Strength
B) Presentation
C) Agility
D) Speed",B
"The electronic scoring system in Taekwondo was fully adopted by major national and international tournaments as of __________.
A) 2010
B) 2012
C) 2015
D) 2017",D
"A technical kick to the hogu is worth __________ points.
A) 2
B) 3
C) 4
D) 5",C
"How many ""Gam-jeom"" penalties will result in a loss by referee's punitive declaration?
A) 5
B) 8
C) 10
D) 12",C
"In addition to sparring, World Taekwondo sanctions competition in __________.
A) Judo
B) Poomsae
C) Karate
D) Kendo",B
"A win by superiority in Taekwondo sparring is determined by:
A) The number of successful attacks
B) The number of defensive moves
C) The number of fouls committed
D) The refereeing officials",D
"The rest period between each round in a Taekwondo match is __________ minutes.
A) One
B) Two
C) Three
D) Four",A
"Competitors in a Taekwondo match are matched within __________ and weight division.
A) Age group
B) Belt level
C) Gender
D) Experience",C
"The electronic headgear in Taekwondo has been controversial because it:
A) Is uncomfortable for athletes
B) Cannot determine the correct taekwondo technique
C) Frequently malfunctions
D) Is too expensive for most tournaments",B
"In Taekwondo, a punch that does not score points must be:
A) A straight punch with arm extended
B) A jab, hook, or uppercut
C) Delivered to the head
D) Performed with an open hand",B
"For the Olympics, the number of weight divisions in Taekwondo is condensed to:
A) Two
B) Three
C) Four
D) Six",C
"In which year did the nine original kwans agree upon the name ""taekwondo"" as a common term for their martial arts?
A) 1946
B) 1955
C) 1959
D) 1964",C
"What does ""Tang Soo Do"" translate to in English?
A) Chinese Hand Way
B) Empty Hand Way
C) Foot Hand Way
D) Way of the Warrior",A
"Which organization was formed to begin work on a common curriculum for Taekwondo?
A) World Taekwondo Federation
B) Korea Taekwondo Association
C) International Taekwondo Federation
D) Kukkiwon",B
"What is the official curriculum of the kwans that joined the unification, with the exception of half the Oh Do Kwan?
A) Chan Hon curriculum
B) Kukki Style of Taekwondo
C) ITF Taekwondo curriculum
D) The Kukkiwon curriculum",D
"The kwans that formed the KTA still exist today as what type of organizations?
A) Governmental regulatory bodies
B) Independent fraternal membership organizations
C) Commercial martial arts schools
D) Non-profit community centers",B
"What is the role of the kwans in relation to Kukkiwon dan and poom certification?
A) They provide training for certification
B) They issue the certification directly
C) They function as a channel for the issuing of certification
D) They have no role in the certification process",C
"What is the name of the Taekwondo style that resulted from the unification process and the work of the KTA?
A) Chan Hon Style
B) Kukki Style
C) ITF Style
D) Oh Do Kwan Style",B
"Which part of the Oh Do Kwan joined the ITF and therefore does not follow the Kukkiwon curriculum?
A) The entire Oh Do Kwan
B) Three-quarters of the Oh Do Kwan
C) Half of the Oh Do Kwan
D) One-quarter of the Oh Do Kwan",C
"In 1952, which South Korean president witnessed a martial arts demonstration that led to the push for a unified martial arts system in the army?
A) Kim Dae-jung
B) Park Chung-hee
C) Syngman Rhee
D) Moon Jae-in",C
"What does the hanja ""跆"" in the name ""Tae Soo Do"" represent?
A) Way
B) Hand
C) Fist
D) Stomp",D
"Who advocated for the name ""Tae Kwon Do"" to represent the unified Korean martial art?
A) Nam Tae-hi
B) Choi Hong-hi
C) Kim Un-yong
D) Hwang Kee",B
"The term ""Tae Kwon Do"" replaces ""su"" meaning ""hand"" with what hanja character that means ""fist""?
A) 手
B) 道
C) 跆
D) 拳",D
"What was the significance of the South Korean military adopting taekwondo?
A) It led to the decline of the sport.
B) It caused controversy among the kwans.
C) It increased its popularity among civilian martial arts schools.
D) It changed the focus from self-defense to combat.",C
"The name ""Tae Soo Do"" was considered for the unified style of Korean martial arts. What does the hanja ""手"" in this name mean?
A) Way
B) Hand
C) Fist
D) Stomp",B
"What was the initial reaction of the kwan leaders to the new name ""Tae Kwon Do""?
A) They accepted it immediately.
B) They were slow to catch on.
C) They rejected it outright.
D) They were indifferent to the change.",B
"A hyeong is a sequence of martial techniques that can be performed:
A) Only with the use of a weapon
B) Only without the use of a weapon
C) Either with or without the use of a weapon
D) Only in demonstration competitions",C
"What is the Korean martial arts term for blocking techniques, such as those used in taekwondo?
A) Uke waza
B) Chukyeo makgi
C) Makgi
D) Age uke",C
"The ""Harlequin Step"" was a technique that involved:
A) A powerful uppercut
B) A grappling move
C) Avoiding a punch while delivering one
D) A specific type of kick",C
"The female triangle pattern is characterized by:
A) The practitioner advancing along an inverse triangle
B) A retreating motion while facing the opponent
C) A static position that facilitates blocking
D) A series of jumps and kicks",A
